rank;rank_w;institution;link;institution_2;score;authors;author_shares;from_url
---;[---];Oviedo Efficiency Group, Facultad de Economía y Empresa, Universidad de OviedoOviedo, Spain;http://edirc.repec.org/data/geovies.html;Oviedo Efficiency Group, Facultad de Economía y Empresa, Universidad de Oviedo;90.48;13;4.45;http://ideas.repec.org/top/top.spain.html;
55;[54];Departamento de Economía, Universidad Loyola AndalucíaSevilla, Spain;http://edirc.repec.org/data/deloyes.html;Departamento de Economía, Universidad Loyola Andalucía;90.94;14;9.85;http://ideas.repec.org/top/top.spain.html;
56;[57];Facultad de Ciencias de la Empresa, Universidad Politécnica de CartagenaCartagena, Spain;http://edirc.repec.org/data/fdpctes.html;Facultad de Ciencias de la Empresa, Universidad Politécnica de Cartagena;93.31;4;4;http://ideas.repec.org/top/top.spain.html;
---;[---];Centre de Recerca en Economia del Benestar (CREB), Facultat d'Economia i Empresa, Universitat de BarcelonaBarcelona, Spain;http://edirc.repec.org/data/creubes.html;Centre de Recerca en Economia del Benestar (CREB), Facultat d'Economia i Empresa, Universitat de Barcelona;93.81;6;3.51;http://ideas.repec.org/top/top.spain.html;
57;[58];Instituto de Políticas y Bienes Públicos (IPP), Consejo Superior de Investigaciones CientíficasMadrid, Spain;http://edirc.repec.org/data/ippcses.html;Instituto de Políticas y Bienes Públicos (IPP), Consejo Superior de Investigaciones Científicas;94.24;4;3.84;http://ideas.repec.org/top/top.spain.html;
58;[59];Facultad de Ciencias Económicas y Empresariales, Universidad de SevillaSevilla, Spain;http://edirc.repec.org/data/fcseves.html;Facultad de Ciencias Económicas y Empresariales, Universidad de Sevilla;95.85;18;16.63;http://ideas.repec.org/top/top.spain.html;
59;[56];Facultad de Ciencias Económicas y Empresariales - ESTE, Universidad de DeustoBilbao/San Sebastián, Spain;http://edirc.repec.org/data/fsdeues.html;Facultad de Ciencias Económicas y Empresariales - ESTE, Universidad de Deusto;96.34;7;5.16;http://ideas.repec.org/top/top.spain.html;
---;[---];Departament d'Economía de l'Empresa, Facultat de Ciències Econòmiques i Empresarials, Universitat de les Illes BalearsPalma de Mallorca, Spain;http://edirc.repec.org/data/deuibes.html;Departament d'Economía de l'Empresa, Facultat de Ciències Econòmiques i Empresarials, Universitat de les Illes Balears;99.61;7;7;http://ideas.repec.org/top/top.spain.html;
60;[60];Departamento de Economía Aplicada I, Universidad Rey Juan CarlosMadrid, Spain;http://edirc.repec.org/data/darjces.html;Departamento de Economía Aplicada I, Universidad Rey Juan Carlos;99.88;15;13.26;http://ideas.repec.org/top/top.spain.html;
---;[---];Research Group in Economic Analysis (RGEA), Facultade de Ciencias Económicas e Empresariais, Universidade de VigoVigo, Spain;http://edirc.repec.org/data/rgviges.html;Research Group in Economic Analysis (RGEA), Facultade de Ciencias Económicas e Empresariais, Universidade de Vigo;101.51;6;4.01;http://ideas.repec.org/top/top.spain.html;
61;[61];ESADE Business School, Universitat Ramon LlullBarcelona, Spain;http://edirc.repec.org/data/esadees.html;ESADE Business School, Universitat Ramon Llull;101.72;7;4.98;http://ideas.repec.org/top/top.spain.html;
---;[---];Centre d'Anàlisi Econòmica i de les Polítiques Socials (CAEPS), Facultat d'Economia i Empresa, Universitat de BarcelonaBarcelona, Spain;http://edirc.repec.org/data/epsubes.html;Centre d'Anàlisi Econòmica i de les Polítiques Socials (CAEPS), Facultat d'Economia i Empresa, Universitat de Barcelona;104.19;9;7.33;http://ideas.repec.org/top/top.spain.html;
62;[62];Departamento de Fundamentos del Analisis Económico, Universidad Rey Juan CarlosMadrid, Spain;http://edirc.repec.org/data/dgrjces.html;Departamento de Fundamentos del Analisis Económico, Universidad Rey Juan Carlos;104.26;7;7;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Economía Aplicada, Facultad de Economía y Empresa, Universidad de OviedoOviedo, Spain;http://edirc.repec.org/data/daovies.html;Departamento de Economía Aplicada, Facultad de Economía y Empresa, Universidad de Oviedo;105.21;8;7.9;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Economía Aplicada IV (Matemáticas), Facultad de Ciencias Económicas y Empresariales, Universidad del País Vasco - Euskal Herriko UnibertsitateaBilbao, Spain;http://edirc.repec.org/data/d4ehues.html;Departamento de Economía Aplicada IV (Matemáticas), Facultad de Ciencias Económicas y Empresariales, Universidad del País Vasco - Euskal Herriko Unibertsitatea;106.15;5;3;http://ideas.repec.org/top/top.spain.html;
63;[63];Facultad de Ciencias Económicas y Empresariales, Universidad de ValladolidValladolid, Spain;http://edirc.repec.org/data/fcvldes.html;Facultad de Ciencias Económicas y Empresariales, Universidad de Valladolid;106.15;16;15.75;http://ideas.repec.org/top/top.spain.html;
64;[64];Departamento de Economía, Universidad de HuelvaHuelva, Spain;http://edirc.repec.org/data/dhuhues.html;Departamento de Economía, Universidad de Huelva;108.51;6;4.5;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Economía, Facultad de Ciencias de la Empresa, Universidad Politécnica de CartagenaCartagena, Spain;http://edirc.repec.org/data/depctes.html;Departamento de Economía, Facultad de Ciencias de la Empresa, Universidad Politécnica de Cartagena;108.65;2;2;http://ideas.repec.org/top/top.spain.html;
65;[65];Departamento de Economía Aplicada II, Universidad Rey Juan CarlosMadrid, Spain;http://edirc.repec.org/data/dfrjces.html;Departamento de Economía Aplicada II, Universidad Rey Juan Carlos;109.32;6;5.7;http://ideas.repec.org/top/top.spain.html;
66;[66];Institut d'Economia Internacional (IEI), Universitat Jaume ICastellón de la Plana, Spain;http://edirc.repec.org/data/ievales.html;Institut d'Economia Internacional (IEI), Universitat Jaume I;110.71;7;2.65;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Estructura e Historia Económica y Economía Pública, Facultad de Economía y Empresa, Universidad de ZaragozaZaragoza, Spain;http://edirc.repec.org/data/dhzares.html;Departamento de Estructura e Historia Económica y Economía Pública, Facultad de Economía y Empresa, Universidad de Zaragoza;111.48;8;8;http://ideas.repec.org/top/top.spain.html;
67;[68];Instituto Universitario de Análisis Económico y Social (IAES), Universidad de Alcalá de HenaresAlcalá de Henares, Spain;http://edirc.repec.org/data/seuahes.html;Instituto Universitario de Análisis Económico y Social (IAES), Universidad de Alcalá de Henares;111.58;9;5.65;http://ideas.repec.org/top/top.spain.html;
68;[67];Facultad de Ciencias Económicas y Empresariales, Universidad de Castilla La ManchaAlbacete, Spain;http://edirc.repec.org/data/fcclmes.html;Facultad de Ciencias Económicas y Empresariales, Universidad de Castilla La Mancha;112.54;11;11;http://ideas.repec.org/top/top.spain.html;
69;[69];Facultad de Ciencias Económicas y Empresariales, Universidad Pontificia ComillasMadrid, Spain;http://edirc.repec.org/data/fcupces.html;Facultad de Ciencias Económicas y Empresariales, Universidad Pontificia Comillas;113.6;5;4.99;http://ideas.repec.org/top/top.spain.html;
---;[---];Riskcenter, Institut de Recerca en Economia Aplicada (IREA), Facultat d'Economia i Empresa, Universitat de BarcelonaBarcelona, Spain;http://edirc.repec.org/data/rskubes.html;Riskcenter, Institut de Recerca en Economia Aplicada (IREA), Facultat d'Economia i Empresa, Universitat de Barcelona;113.99;4;2.27;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Economía Aplicada V, Facultad de Ciencias Económicas y Empresariales, Universidad del País Vasco - Euskal Herriko UnibertsitateaBilbao, Spain;http://edirc.repec.org/data/d5ehues.html;Departamento de Economía Aplicada V, Facultad de Ciencias Económicas y Empresariales, Universidad del País Vasco - Euskal Herriko Unibertsitatea;114.66;13;12.18;http://ideas.repec.org/top/top.spain.html;
70;[70];Instituto de Economía Internacional (IEI), Universidad de ValènciaValència, Spain;http://edirc.repec.org/data/ieiuves.html;Instituto de Economía Internacional (IEI), Universidad de València;115.74;1;1;http://ideas.repec.org/top/top.spain.html;
---;[---];Group of Researchers in Empirical Economics (GRiEE), Facultade de Ciencias Económicas e Empresariais, Universidade de VigoVigo, Spain;http://edirc.repec.org/data/grviges.html;Group of Researchers in Empirical Economics (GRiEE), Facultade de Ciencias Económicas e Empresariais, Universidade de Vigo;117.92;6;2.83;http://ideas.repec.org/top/top.spain.html;
---;[---];Research Group in Economics, Energy and the Environment (REDE), Facultade de Ciencias Económicas e Empresariais, Universidade de VigoVigo, Spain;http://edirc.repec.org/data/reviges.html;Research Group in Economics, Energy and the Environment (REDE), Facultade de Ciencias Económicas e Empresariais, Universidade de Vigo;120.25;15;8.79;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Métodos Cuantitativos en la Economía y la Gestión, Facultad de Economía, Empresa y Turismo, Universidad de las Palmas de Gran CanariaLas Palmas, Spain;http://edirc.repec.org/data/dmlpges.html;Departamento de Métodos Cuantitativos en la Economía y la Gestión, Facultad de Economía, Empresa y Turismo, Universidad de las Palmas de Gran Canaria;125.02;8;8;http://ideas.repec.org/top/top.spain.html;
71;[71];Facultad de Ciencias Económicas y Empresariales, Universidad de ExtremaduraBadajoz, Spain;http://edirc.repec.org/data/fcextes.html;Facultad de Ciencias Económicas y Empresariales, Universidad de Extremadura;125.15;8;6.45;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Métodos Cuantitativos y Teoría Económica, Facultad de Ciencias Económicas y Empresariales, Universidad de AlicanteAlicante, Spain;http://edirc.repec.org/data/dmalies.html;Departamento de Métodos Cuantitativos y Teoría Económica, Facultad de Ciencias Económicas y Empresariales, Universidad de Alicante;126.11;5;3.51;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Estadística y Econometría, Facultad de Ciencias Económicas y Empresariales, Universidad de MálagaMálaga, Spain;http://edirc.repec.org/data/dxmales.html;Departamento de Estadística y Econometría, Facultad de Ciencias Económicas y Empresariales, Universidad de Málaga;127.21;6;5;http://ideas.repec.org/top/top.spain.html;
---;[---];Departament d'Economia Financiera i Actuarial, Facultad de Economía, Universidad de ValènciaValència, Spain;http://edirc.repec.org/data/dfvales.html;Departament d'Economia Financiera i Actuarial, Facultad de Economía, Universidad de València;131.35;3;3;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Economía Aplicada I, Facultad de Ciencias Económicas y Empresariales, Universidad del País Vasco - Euskal Herriko UnibertsitateaBilbao, Spain;http://edirc.repec.org/data/daehues.html;Departamento de Economía Aplicada I, Facultad de Ciencias Económicas y Empresariales, Universidad del País Vasco - Euskal Herriko Unibertsitatea;131.62;4;4;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Economía Aplicada, Facultad de Ciencias Económicas y Empresariales, Universidad de ValladolidValladolid, Spain;http://edirc.repec.org/data/dauvaes.html;Departamento de Economía Aplicada, Facultad de Ciencias Económicas y Empresariales, Universidad de Valladolid;132.48;5;5;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Economía Aplicada, Facultad de Economía y Empresa, Universidad de MurciaMurcia, Spain;http://edirc.repec.org/data/damures.html;Departamento de Economía Aplicada, Facultad de Economía y Empresa, Universidad de Murcia;133.02;8;8;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Economía Aplicada, Facultad de Ciencias Económicas, Empresariales y Turismo, Universidad de Alcalá de HenaresAlcalá de Henares, Spain;http://edirc.repec.org/data/deuahes.html;Departamento de Economía Aplicada, Facultad de Ciencias Económicas, Empresariales y Turismo, Universidad de Alcalá de Henares;134.2;4;3.5;http://ideas.repec.org/top/top.spain.html;
72;[72];INGENIOSpain;http://edirc.repec.org/data/ingenes.html;INGENIO;134.54;4;3.1;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Economía Aplicada VI (Hacienda Pública y Sistema Fiscal), Facultad de Ciencias Económicas y Empresariales, Universidad Complutense de MadridMadrid, Spain;http://edirc.repec.org/data/dpucmes.html;Departamento de Economía Aplicada VI (Hacienda Pública y Sistema Fiscal), Facultad de Ciencias Económicas y Empresariales, Universidad Complutense de Madrid;135.39;4;3.4;http://ideas.repec.org/top/top.spain.html;
---;[---];Subsección de Matemáticas, Departamento de Economía Aplicada, Facultad de Ciencias Económicas y Empresariales, Universidad de ValladolidValladolid, Spain;http://edirc.repec.org/data/smuvaes.html;Subsección de Matemáticas, Departamento de Economía Aplicada, Facultad de Ciencias Económicas y Empresariales, Universidad de Valladolid;136.12;3;3;http://ideas.repec.org/top/top.spain.html;
---;[---];Grupo de Economía Europea, Facultad de Ciencias Económicas y Empresariales, Universidad Complutense de MadridMadrid, Spain;http://edirc.repec.org/data/geucmes.html;Grupo de Economía Europea, Facultad de Ciencias Económicas y Empresariales, Universidad Complutense de Madrid;137.58;3;1.73;http://ideas.repec.org/top/top.spain.html;
---;[---];Departamento de Análise Económica e Administración de Empresas, Facultade de Economía e Empresa, Universidade da CoruñaA Coruña, Spain;http://edirc.repec.org/data/daudces.html;Departamento de Análise Económica e Administración de Empresas, Facultade de Economía e Empresa, Universidade da Coruña;138.04;5;5;http://ideas.repec.org/top/top.spain.html;
73;[73];Orkestra-Instituto Vasco de Competitividad, Universidad de DeustoSan Sebastián, Spain;http://edirc.repec.org/data/ordeues.html;Orkestra-Instituto Vasco de Competitividad, Universidad de Deusto;138.1;6;4.83;http://ideas.repec.org/top/top.spain.html;
74;[74];Departamento de Economía Financiera y Contabilidad, Universidad Pablo de OlavideSevilla, Spain;http://edirc.repec.org/data/dfupoes.html;Departamento de Economía Financiera y Contabilidad, Universidad Pablo de Olavide;138.46;13;13;http://ideas.repec.org/top/top.spain.html;
---;[---];Unidad Académica de Economía, Departamento de Economía, Métodos Cuantitativos e Historia Económica, Universidad Pablo de OlavideSevilla, Spain;http://edirc.repec.org/data/ueupoes.html;Unidad Académica de Economía, Departamento de Economía, Métodos Cuantitativos e Historia Económica, Universidad Pablo de Olavide;138.85;2;2;http://ideas.repec.org/top/top.spain.html;
75;[75];Instituto de Investigación y Formación Agraria y Pesquera (IFAPA), Government of AndalusiaSevilla, Spain;http://edirc.repec.org/data/ifapaes.html;Instituto de Investigación y Formación Agraria y Pesquera (IFAPA), Government of Andalusia;139.73;3;3;http://ideas.repec.org/top/top.spain.html;
76;[78];Centre de Recerca Econòmica (CRE), Universitat de les Illes BalearsPalma de Mallorca, Spain;http://edirc.repec.org/data/cruibes.html;Centre de Recerca Econòmica (CRE), Universitat de les Illes Balears;140.8;5;4.31;http://ideas.repec.org/top/top.spain.html;
77;[77];Departamento de Economía, Universidad de LeónLeón, Spain;http://edirc.repec.org/data/deleoes.html;Departamento de Economía, Universidad de León;141.56;3;2.8;http://ideas.repec.org/top/top.spain.html;
1;[1];Faculteit Economie en Bedrijfskunde, Universiteit van AmsterdamAmsterdam, Netherlands;http://edirc.repec.org/data/feuvanl.html;Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam;1.65;84;60.56;http://ideas.repec.org/top/top.netherlands.html;
2;[2];Faculteit der Economische Wetenschappen, Erasmus Universiteit RotterdamRotterdam, Netherlands;http://edirc.repec.org/data/feeurnl.html;Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam;2.39;111;76.5;http://ideas.repec.org/top/top.netherlands.html;
3;[3];CentER for Economic Research, Universiteit van TilburgTilburg, Netherlands;http://edirc.repec.org/data/cekubnl.html;CentER for Economic Research, Universiteit van Tilburg;3.05;105;68.63;http://ideas.repec.org/top/top.netherlands.html;
4;[4];Faculteit Economie en Bedrijfskunde, Rijksuniversiteit GroningenGroningen, Netherlands;http://edirc.repec.org/data/ferugnl.html;Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen;3.38;83;62.54;http://ideas.repec.org/top/top.netherlands.html;
5;[5];Faculteit der Economische Wetenschappen en Bedrijfskunde, Vrije UniversiteitAmsterdam, Netherlands;http://edirc.repec.org/data/fewvunl.html;Faculteit der Economische Wetenschappen en Bedrijfskunde, Vrije Universiteit;4.52;95;64.03;http://ideas.repec.org/top/top.netherlands.html;
6;[7];Tinbergen InstituutAmsterdam, Netherlands;http://edirc.repec.org/data/tinbenl.html;Tinbergen Instituut;5.05;137;42.55;http://ideas.repec.org/top/top.netherlands.html;
7;[6];School of Business and Economics, Maastricht UniversityMaastricht, Netherlands;http://edirc.repec.org/data/femaanl.html;School of Business and Economics, Maastricht University;6.32;96;69.97;http://ideas.repec.org/top/top.netherlands.html;
8;[8];School of Economics and Management, Universiteit van TilburgTilburg, Netherlands;http://edirc.repec.org/data/fekubnl.html;School of Economics and Management, Universiteit van Tilburg;6.92;78;46.83;http://ideas.repec.org/top/top.netherlands.html;
9;[9];United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT)Maastricht, Netherlands;http://edirc.repec.org/data/meritnl.html;United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT);7.75;98;61.78;http://ideas.repec.org/top/top.netherlands.html;
10;[10];de Nederlandsche BankAmsterdam, Netherlands;http://edirc.repec.org/data/dnbgvnl.html;de Nederlandsche Bank;9.29;85;75.53;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Departement Algemene Economie, School of Economics and Management, Universiteit van TilburgTilburg, Netherlands;http://edirc.repec.org/data/aekubnl.html;Departement Algemene Economie, School of Economics and Management, Universiteit van Tilburg;10.83;28;15.89;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Econometrisch Instituut, Faculteit der Economische Wetenschappen, Erasmus Universiteit RotterdamRotterdam, Netherlands;http://edirc.repec.org/data/eieurnl.html;Econometrisch Instituut, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam;12.28;23;13.42;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Amsterdam School of Economics, Faculteit Economie en Bedrijfskunde, Universiteit van AmsterdamAmsterdam, Netherlands;http://edirc.repec.org/data/asuvanl.html;Amsterdam School of Economics, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam;13.55;24;13.35;http://ideas.repec.org/top/top.netherlands.html;
11;[11];Rotterdam School of Management (RSM Erasmus University), Erasmus Universiteit RotterdamRotterdam, Netherlands;http://edirc.repec.org/data/rsmeunl.html;Rotterdam School of Management (RSM Erasmus University), Erasmus Universiteit Rotterdam;14.14;27;23.71;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Vakgroep Algemene Economie, School of Business and Economics, Maastricht UniversityMaastricht, Netherlands;http://edirc.repec.org/data/vamaanl.html;Vakgroep Algemene Economie, School of Business and Economics, Maastricht University;16.01;27;15.68;http://ideas.repec.org/top/top.netherlands.html;
---;[---];SOM Research Institute, Faculteit Economie en Bedrijfskunde, Rijksuniversiteit GroningenGroningen, Netherlands;http://edirc.repec.org/data/sorugnl.html;SOM Research Institute, Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen;18.48;24;13.21;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Afdeling Ruimtelijke Economie, Faculteit der Economische Wetenschappen en Bedrijfskunde, Vrije UniversiteitAmsterdam, Netherlands;http://edirc.repec.org/data/vrevunl.html;Afdeling Ruimtelijke Economie, Faculteit der Economische Wetenschappen en Bedrijfskunde, Vrije Universiteit;18.92;31;21.81;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Graduate School of Business and Economics (GSBE), School of Business and Economics, Maastricht UniversityMaastricht, Netherlands;http://edirc.repec.org/data/meteonl.html;Graduate School of Business and Economics (GSBE), School of Business and Economics, Maastricht University;19.88;46;24.98;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Finance Group, Faculteit Economie en Bedrijfskunde, Universiteit van AmsterdamAmsterdam, Netherlands;http://edirc.repec.org/data/fguvanl.html;Finance Group, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam;20.2;11;8.33;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Groningen Growth and Development Centre (GGDC), Faculteit Economie en Bedrijfskunde, Rijksuniversiteit GroningenGroningen, Netherlands;http://edirc.repec.org/data/ggrugnl.html;Groningen Growth and Development Centre (GGDC), Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen;20.42;13;5.8;http://ideas.repec.org/top/top.netherlands.html;
12;[13];Erasmus Research Institute of Management (ERIM), Erasmus Universiteit RotterdamRotterdam, Netherlands;http://edirc.repec.org/data/erimanl.html;Erasmus Research Institute of Management (ERIM), Erasmus Universiteit Rotterdam;20.75;30;15.02;http://ideas.repec.org/top/top.netherlands.html;
13;[12];School of Economics, Universiteit UtrechtUtrecht, Netherlands;http://edirc.repec.org/data/eiruunl.html;School of Economics, Universiteit Utrecht;20.92;38;29.18;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Department of Finance, Rotterdam School of Management (RSM Erasmus University), Erasmus Universiteit RotterdamRotterdam, Netherlands;http://edirc.repec.org/data/dfmeunl.html;Department of Finance, Rotterdam School of Management (RSM Erasmus University), Erasmus Universiteit Rotterdam;21.27;11;10;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Departement Econometrie & Operations Research, School of Economics and Management, Universiteit van TilburgTilburg, Netherlands;http://edirc.repec.org/data/exkubnl.html;Departement Econometrie & Operations Research, School of Economics and Management, Universiteit van Tilburg;21.53;22;14.35;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Afdeling Economie, Faculteit der Economische Wetenschappen en Bedrijfskunde, Vrije UniversiteitAmsterdam, Netherlands;http://edirc.repec.org/data/aecvunl.html;Afdeling Economie, Faculteit der Economische Wetenschappen en Bedrijfskunde, Vrije Universiteit;21.83;17;10.61;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Capaciteitsgroep Toegepaste Economie, Faculteit der Economische Wetenschappen, Erasmus Universiteit RotterdamRotterdam, Netherlands;http://edirc.repec.org/data/rheurnl.html;Capaciteitsgroep Toegepaste Economie, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam;24.06;25;17.78;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Capaciteitsgroep Algemene Economie, Faculteit der Economische Wetenschappen, Erasmus Universiteit RotterdamRotterdam, Netherlands;http://edirc.repec.org/data/aeeurnl.html;Capaciteitsgroep Algemene Economie, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam;24.36;22;15.49;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Center for Nonlinear Dynamics in Economics and Finance (CeNDEF), Faculteit Economie en Bedrijfskunde, Universiteit van AmsterdamAmsterdam, Netherlands;http://edirc.repec.org/data/cnuvanl.html;Center for Nonlinear Dynamics in Economics and Finance (CeNDEF), Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam;25.71;13;8.34;http://ideas.repec.org/top/top.netherlands.html;
14;[14];Leerstoelgroep Ontwikkelingseconomie, Wageningen Universiteit en ResearchcentrumWageningen, Netherlands;http://edirc.repec.org/data/oewaunl.html;Leerstoelgroep Ontwikkelingseconomie, Wageningen Universiteit en Researchcentrum;26.82;16;12.12;http://ideas.repec.org/top/top.netherlands.html;
15;[15];Centraal Planbureau (CPB), Government of the NetherlandsDen Haag, Netherlands;http://edirc.repec.org/data/cpbgvnl.html;Centraal Planbureau (CPB), Government of the Netherlands;27.8;28;24.54;http://ideas.repec.org/top/top.netherlands.html;
16;[17];Tilburg Law and Economics Center (TILEC), Universiteit van TilburgTilburg, Netherlands;http://edirc.repec.org/data/tilecnl.html;Tilburg Law and Economics Center (TILEC), Universiteit van Tilburg;29.74;17;8.1;http://ideas.repec.org/top/top.netherlands.html;
17;[16];Researchcentrum voor Onderwijs en Arbeidsmarkt (ROA), Maastricht UniversityMaastricht, Netherlands;http://edirc.repec.org/data/romaanl.html;Researchcentrum voor Onderwijs en Arbeidsmarkt (ROA), Maastricht University;29.81;46;24.85;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Centre for Research in Experimental Economics and Political Decision-Making (CREED), Faculteit Economie en Bedrijfskunde, Universiteit van AmsterdamAmsterdam, Netherlands;http://edirc.repec.org/data/ceuvanl.html;Centre for Research in Experimental Economics and Political Decision-Making (CREED), Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam;29.9;7;4.67;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Afdeling Econometrie, Faculteit der Economische Wetenschappen en Bedrijfskunde, Vrije UniversiteitAmsterdam, Netherlands;http://edirc.repec.org/data/ectvunl.html;Afdeling Econometrie, Faculteit der Economische Wetenschappen en Bedrijfskunde, Vrije Universiteit;30.98;13;8.61;http://ideas.repec.org/top/top.netherlands.html;
18;[18];Network for Studies on Pensions, Aging and Retirement (NetSPAR)Tilburg, Netherlands;http://edirc.repec.org/data/netspnl.html;Network for Studies on Pensions, Aging and Retirement (NetSPAR);31.4;38;6.97;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Vakgroep Kwantitatieve Economie, School of Business and Economics, Maastricht UniversityMaastricht, Netherlands;http://edirc.repec.org/data/dqmaanl.html;Vakgroep Kwantitatieve Economie, School of Business and Economics, Maastricht University;31.56;6;4.33;http://ideas.repec.org/top/top.netherlands.html;
19;[19];Disciplinegroep Economische Geografie, Faculteit Ruimtelijke Wetenschappen, Universiteit UtrechtUtrecht, Netherlands;http://edirc.repec.org/data/deguunl.html;Disciplinegroep Economische Geografie, Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht;32.48;4;2.71;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Finance Department, School of Economics and Management, Universiteit van TilburgTilburg, Netherlands;http://edirc.repec.org/data/fdkubnl.html;Finance Department, School of Economics and Management, Universiteit van Tilburg;32.86;12;6.42;http://ideas.repec.org/top/top.netherlands.html;
20;[20];Instituut Beleid en Management Gezondheidszorg (IBMG), Erasmus Universiteit RotterdamRotterdam, Netherlands;http://edirc.repec.org/data/ibeurnl.html;Instituut Beleid en Management Gezondheidszorg (IBMG), Erasmus Universiteit Rotterdam;38.15;11;7.12;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Tjalling C. Koopmans Research Institute, School of Economics, Universiteit UtrechtUtrecht, Netherlands;http://edirc.repec.org/data/triuunl.html;Tjalling C. Koopmans Research Institute, School of Economics, Universiteit Utrecht;38.5;15;10.12;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Capaciteitsgroep Bedrijfseconomie, Faculteit der Economische Wetenschappen, Erasmus Universiteit RotterdamRotterdam, Netherlands;http://edirc.repec.org/data/afeurnl.html;Capaciteitsgroep Bedrijfseconomie, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam;40.63;17;13.07;http://ideas.repec.org/top/top.netherlands.html;
---;[---];Vakgroep Organisatie en Strategie, School of Business and Economics, Maastricht UniversityMaastricht, Netherlands;http://edirc.repec.org/data/domaanl.html;Vakgroep Organisatie en Strategie, School of Business and Economics, Maastricht University;41.08;6;3.79;http://ideas.repec.org/top/top.netherlands.html;
21;[21];Urban and Regional Studies Institute (URSI), Faculteit der Ruimtelijke Wetenschappen, Rijksuniversiteit GroningenGroningen, Netherlands;http://edirc.repec.org/data/urrugnl.html;Urban and Regional Studies Institute (URSI), Faculteit der Ruimtelijke Wetenschappen, Rijksuniversiteit Groningen;41.15;6;4.08;http://ideas.repec.org/top/top.netherlands.html;
22;[25];Institute of Social Studies (ISS)Den Haag, Netherlands;http://edirc.repec.org/data/issssnl.html;Institute of Social Studies (ISS);42.5;11;9.39;http://ideas.repec.org/top/top.netherlands.html;
23;[22];SEO Economisch Onderzoek, Universiteit van AmsterdamAmsterdam, Netherlands;http://edirc.repec.org/data/seuvanl.html;SEO Economisch Onderzoek, Universiteit van Amsterdam;43.57;6;4.5;http://ideas.repec.org/top/top.netherlands.html;
24;[23];Copernicus Institute for Sustainable Development and Innovation, Faculteit Ruimtelijke Wetenschappen, Universiteit UtrechtUtrecht, Netherlands;http://edirc.repec.org/data/cisuunl.html;Copernicus Institute for Sustainable Development and Innovation, Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht;44.72;3;3;http://ideas.repec.org/top/top.netherlands.html;
